timestamp,status,user,token_id
2023-07-18,success,0xb040e04c10d9217de6930361778fc67a4bc98685,243541733
2023-07-18,success,0xe55c729b30f179ac18fac3160bc1adb2c8232bd1,243541677
2023-07-18,success,0x5cf7c7c446c8699e9a0146deb88e9a8dd6728782,243541666
2023-07-18,success,0xe55c729b30f179ac18fac3160bc1adb2c8232bd1,243541660
2023-07-18,success,0x5cf7c7c446c8699e9a0146deb88e9a8dd6728782,243541654
2023-07-18,success,0xe9cf1ca6e699105c1d8109b6bd101ef32d81df02,243541653
2023-07-18,success,0xe55c729b30f179ac18fac3160bc1adb2c8232bd1,243541652
2023-07-18,success,0xe55c729b30f179ac18fac3160bc1adb2c8232bd1,243541611
2023-07-18,success,0xe55c729b30f179ac18fac3160bc1adb2c8232bd1,243541600
2023-07-18,success,0x9a5f6886af1180edfece22559b825d1d557d243e,243541574
2023-07-18,success,0x50d09425fdf7e990a0aaa8ac6fdccc6086479f86,243541573
2023-07-18,success,0x9a5f6886af1180edfece22559b825d1d557d243e,243541552
2023-07-18,success,0x50d09425fdf7e990a0aaa8ac6fdccc6086479f86,243541541
2023-07-18,success,0x654727c8b853915bf52ebd5b76fa564e5e9d7375,243541510
2023-07-18,success,0x9a5f6886af1180edfece22559b825d1d557d243e,243541484
2023-07-18,success,0xe55c729b30f179ac18fac3160bc1adb2c8232bd1,243541458
2023-07-18,success,0x9a5f6886af1180edfece22559b825d1d557d243e,243541447
2023-07-18,success,0x50d09425fdf7e990a0aaa8ac6fdccc6086479f86,243541446
2023-07-18,success,0x50d09425fdf7e990a0aaa8ac6fdccc6086479f86,243541445
2023-07-18,success,0x654727c8b853915bf52ebd5b76fa564e5e9d7375,243541409
2023-07-18,success,0x50d09425fdf7e990a0aaa8ac6fdccc6086479f86,243541403
2023-07-18,success,0xe55c729b30f179ac18fac3160bc1adb2c8232bd1,243541397
2023-07-18,success,0xe55c729b30f179ac18fac3160bc1adb2c8232bd1,243541396
2023-07-18,success,0x3ce2fcc57f64f08558d19ddf3cfda1ac8ad092ca,243541395
2023-07-18,success,0x7e1b83f3d38e9cafe5931df585094ddefbe5b0b6,243541384
2023-07-18,success,0xe55c729b30f179ac18fac3160bc1adb2c8232bd1,243541378
2023-07-18,success,0x3da1495d69d750a69902774926a46a72007a62bb,243541377
2023-07-18,success,0xe55c729b30f179ac18fac3160bc1adb2c8232bd1,243541361
2023-07-18,success,0xca1e641fa450e9fbccfa6b72a45afea157279c6a,243541355
2023-07-18,success,0x654727c8b853915bf52ebd5b76fa564e5e9d7375,243541349
2023-07-18,success,0xca1e641fa450e9fbccfa6b72a45afea157279c6a,243541338
2023-07-18,success,0x2b1ea053e32f7fd414a2a496f11b044bb04ce890,243541327
2023-07-18,success,0xca1e641fa450e9fbccfa6b72a45afea157279c6a,243541321
2023-07-18,success,0x50d09425fdf7e990a0aaa8ac6fdccc6086479f86,243541310
2023-07-18,success,0x2b1ea053e32f7fd414a2a496f11b044bb04ce890,243541304
2023-07-18,success,0x19897bb54f46219ccc9715a8f36938745d867bb0,243541298
2023-07-18,success,0x50d09425fdf7e990a0aaa8ac6fdccc6086479f86,243541292
