timestamp,order_id,status,user,sell_asset,buy_type,buy_quantity
2023-07-19,308503942,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A3860 2023 Puzzle Piece The Flash Bottom Left,ERC20,1.0
2023-07-19,308503240,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A374 2022 Superhuman Strength Epic Vixen,ERC20,12.0
2023-07-19,308502306,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1073 2022 Superhuman Strength Uncommon Atrocitus,ERC20,1.25
2023-07-19,308501647,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A2123 2023 Puzzle Piece The Flash Bottom Left,ERC20,1.0
2023-07-19,308500235,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1438 2023 Super-Speed Uncommon Black Racer,ERC20,1.0
2023-07-19,308499965,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A212 2023 Super-Speed Epic The Flash,ERC20,9.9
2023-07-19,308497102,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A482 2023 Super-Speed Common Wonder Woman,ERC20,2.5
2023-07-19,308496562,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A6767 2022 Wonder Woman Celebration Common Wonder Woman,ERC20,1.0
2023-07-19,308496484,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A6628 2022 Wonder Woman Celebration Superior Wonder Woman,ERC20,1.0
2023-07-19,308496332,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A31000 2022 Wonder Woman Celebration Uncommon Wonder Woman,ERC20,1.0
2023-07-19,308495792,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1812 2022 Page 5 of Justice #9 (2007) Reward,ERC20,1.0
2023-07-19,308494970,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A2392 2023 Puzzle Piece The Flash Bottom Right,ERC20,1.5
2023-07-19,308494906,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A3855 2023 Puzzle Piece The Flash Bottom Right,ERC20,2.0
2023-07-19,308494871,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A360 2023 Puzzle Piece The Flash Bottom Right,ERC20,4.0
2023-07-19,308494737,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1768 2023 Puzzle Piece The Flash Top Left,ERC20,1.0
2023-07-19,308494701,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A2233 2023 Puzzle Piece The Flash Top Right,ERC20,1.0
2023-07-19,308494447,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1144 2023 Super-Speed Uncommon Reverse-Flash,ERC20,1.15
2023-07-19,308494412,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1459 2023 Super-Speed Uncommon Reverse-Flash,ERC20,1.12
2023-07-19,308494378,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1479 2023 Super-Speed Uncommon Reverse-Flash,ERC20,1.11
2023-07-19,308493401,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A2093 2023 Puzzle Piece The Flash Top Right,ERC20,1.0
2023-07-19,308493346,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1708 2023 Puzzle Piece The Flash Top Left,ERC20,1.0
2023-07-19,308493258,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1459 2023 Puzzle Piece The Flash Bottom Left,ERC20,1.0
2023-07-19,308492073,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A20278 2022 Legends Stargirl,ERC20,2.0
2023-07-19,308491675,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A518 2023 Super-Speed Common Shazam!/Darla,ERC20,1.99
2023-07-19,308489729,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A2974 2023 Puzzle Piece The Flash Bottom Right,ERC20,1.25
2023-07-19,308488836,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1775 2022 DC Showcase: Multiverse Common Aquaman: Invasion of the Fire-Trolls,ERC20,1.0
2023-07-19,308487929,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A2018 2023 Puzzle Piece The Flash Bottom Left,ERC20,1.0
2023-07-19,308487632,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A267 2023 Super-Speed Uncommon Gorilla Grodd,ERC20,5.55
2023-07-19,308487560,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A228 2023 Super-Speed Superior Flashpoint,ERC20,7.77
2023-07-19,308487311,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A345 2023 Super-Speed Uncommon Reverse-Flash,ERC20,5.49
2023-07-19,308487239,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A239 2023 Super-Speed Uncommon Johnny Quick,ERC20,7.0
2023-07-19,308487101,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A831 2023 Super-Speed Superior The New 52!,ERC20,2.77
2023-07-19,308487011,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A310 2023 Puzzle Piece The Flash Bottom Right,ERC20,4.0
