timestamp,transaction_id,user_id,status,token_type,quantity
2024-11-01,420058157,0xe2c71e7a5a0e0d7f26acc8bfaced81c1ed0d5964,success,ETH,0.01
2024-11-01,420061037,0xaa511dc756cd4af3995ce61c9a2c1e9ab3b4ca44,success,ETH,0.0541
2024-11-01,420070528,0x55dbf928fdc43df0a95e7eb8e5e6f345f82e9a31,success,ETH,0.03072762
2024-11-01,420072702,0x7ed4ec4d094210b59df1e450290d08392e962115,success,ETH,0.0011
2024-11-01,420072707,0xdef1632141cdf9e6df96a3e4b4cccc363d428f36,success,ETH,0.002
2024-11-01,420073333,0x4e7422656fffbe5fea4e18574d6c2254f4590462,success,ETH,0.023
2024-11-01,420074214,0x69cd592512e6ff902316f8e35a6b4e95e28e3996,success,ETH,0.01782081
2024-11-01,420075440,0xe853903059dadb6a6f3205dce4576aad74534f56,success,ETH,0.002
2024-11-01,420080113,0x615df5a625add604c31de93f8bdbc9abd04db72f,success,ETH,0.0155
2024-11-01,420084180,0xe853903059dadb6a6f3205dce4576aad74534f56,success,ETH,0.00145
2024-11-01,420084824,0xeb5fa5ebcf41f721ebad25207b0770e090f4ab4b,success,ETH,0.005
2024-11-01,420090275,0x11b84912f4889fc241e786747ea743c06e7cae13,success,ETH,0.00702
2024-11-01,420091890,0x40686e708c839234a00434982e7c2831df44262f,success,ERC20,595.0
2024-11-01,420091894,0x0bf8d8b076da0dcec36516da9702a96984b58193,success,ERC20,24999.999999999996
2024-11-01,420091895,0x49940acfce723a30ba750428dbe712b4dcc67a62,success,ERC20,18229.0
2024-11-01,420091896,0xbcab6be954c43fd59c0710a05950836f7211c38c,success,ERC20,13889.0
2024-11-01,420091897,0xcbacfd488370d9a611b3584070b98ad0c5597250,success,ERC20,4167.0
2024-11-01,420091899,0x2c538596e99dfe6496249d911add6c753621795e,success,ERC20,4167.0
2024-11-01,420091900,0x4603f697438271b3b6f38f909622dbefaec8b81c,success,ERC20,2500.0
2024-11-01,420091901,0xc073a4bdab0b8639d8d14734bb62fec399993613,success,ERC20,1094.0
2024-11-01,420091902,0xeb6412cda5825d6385f651d82699805eb66ad979,success,ERC20,2083.0
